town_code,region_code,ID Provincia,ID Municipio,name,population,census,votes,null_votes,blank_votes,scrutinized,Fecha
33054,03,33,054,"Regueras, Las",1916,1728,1290,36,23,100,Datos de las 21:36 del 24 de Mayo de 2015
33055,03,33,055,Ribadedeva,1862,1536,1146,19,13,100,Datos de las 21:30 del 24 de Mayo de 2015
33056,03,33,056,Ribadesella,6002,5075,3281,53,64,100,Datos de las 22:36 del 24 de Mayo de 2015
33057,03,33,057,Ribera de Arriba,1903,1606,1092,13,26,100,Datos de las 21:54 del 24 de Mayo de 2015
33058,03,33,058,Riosa,2098,1836,1292,20,21,100,Datos de las 21:54 del 24 de Mayo de 2015
33059,03,33,059,Salas,5516,4786,3541,66,67,100,Datos de las 22:03 del 24 de Mayo de 2015
33061,03,33,061,San Martín de Oscos,446,390,269,10,11,100,Datos de las 21:18 del 24 de Mayo de 2015
33060,03,33,060,San Martín del Rey Aurelio,17460,14929,9274,203,166,100,Datos de las 22:43 del 24 de Mayo de 2015
33063,03,33,063,San Tirso de Abres,498,421,376,5,6,100,Datos de las 21:57 del 24 de Mayo de 2015
33062,03,33,062,Santa Eulalia de Oscos,488,414,370,4,3,100,Datos de las 22:00 del 24 de Mayo de 2015
33064,03,33,064,Santo Adriano,256,231,191,5,17,100,Datos de las 21:15 del 24 de Mayo de 2015
33065,03,33,065,Sariego,1295,1123,862,8,8,100,Datos de las 22:09 del 24 de Mayo de 2015
33066,03,33,066,Siero,52380,43231,25591,394,519,100,Datos de las 22:21 del 24 de Mayo de 2015
33067,03,33,067,Sobrescobio,871,779,635,12,11,100,Datos de las 21:51 del 24 de Mayo de 2015
33068,03,33,068,Somiedo,1281,1135,709,9,21,100,Datos de las 21:36 del 24 de Mayo de 2015
33069,03,33,069,Soto del Barco,4012,3546,2472,25,29,100,Datos de las 22:36 del 24 de Mayo de 2015
33070,03,33,070,Tapia de Casariego,3929,3397,2315,85,88,100,Datos de las 22:42 del 24 de Mayo de 2015
33071,03,33,071,Taramundi,706,634,480,22,24,100,Datos de las 21:45 del 24 de Mayo de 2015
33072,03,33,072,Teverga,1807,1637,1138,15,19,100,Datos de las 21:33 del 24 de Mayo de 2015
33073,03,33,073,Tineo,10413,8778,5022,79,107,100,Datos de las 22:13 del 24 de Mayo de 2015
33034,03,33,034,Valdés,12635,10847,6349,217,219,100,Datos de las 22:03 del 24 de Mayo de 2015
33074,03,33,074,Vegadeo,3996,3565,2648,40,57,100,Datos de las 22:39 del 24 de Mayo de 2015
33075,03,33,075,Villanueva de Oscos,316,277,210,10,2,100,Datos de las 22:06 del 24 de Mayo de 2015
33076,03,33,076,Villaviciosa,14820,12433,7921,91,142,100,Datos de las 22:09 del 24 de Mayo de 2015
33077,03,33,077,Villayón,1393,1245,1047,12,15,100,Datos de las 22:21 del 24 de Mayo de 2015
33078,03,33,078,Yernes y Tameza,166,148,133,5,1,100,Datos de las 21:09 del 24 de Mayo de 2015
05001,08,05,001,Adanero,204,200,161,9,5,100,Datos de las 21:48 del 24 de Mayo de 2015
05002,08,05,002,"Adrada, La",2663,1989,1449,57,24,100,Datos de las 23:39 del 24 de Mayo de 2015
05005,08,05,005,Albornos,205,189,154,6,4,100,Datos de las 21:45 del 24 de Mayo de 2015
05007,08,05,007,Aldeanueva de Santa Cruz,132,113,80,7,13,100,Datos de las 20:45 del 24 de Mayo de 2015
05008,08,05,008,Aldeaseca,254,231,190,7,8,100,Datos de las 21:48 del 24 de Mayo de 2015
05010,08,05,010,"Aldehuela, La",177,150,119,12,9,100,Datos de las 22:00 del 24 de Mayo de 2015
05012,08,05,012,Amavida,154,140,109,2,1,100,Datos de las 21:21 del 24 de Mayo de 2015
05013,08,05,013,"Arenal, El",1004,902,807,9,7,100,Datos de las 23:24 del 24 de Mayo de 2015
05014,08,05,014,Arenas de San Pedro,6754,5493,3892,122,71,100,Datos de las 0:21 del 25 de Mayo de 2015
05015,08,05,015,Arevalillo,87,91,81,2,0,100,Datos de las 20:54 del 24 de Mayo de 2015
05016,08,05,016,Arévalo,8165,6380,4394,177,65,100,Datos de las 0:33 del 25 de Mayo de 2015
05017,08,05,017,Aveinte,85,85,76,2,1,100,Datos de las 20:42 del 24 de Mayo de 2015
05018,08,05,018,Avellaneda,32,27,23,2,0,100,Datos de las 20:36 del 24 de Mayo de 2015
05019,08,05,019,Ávila,58933,44841,29486,677,715,100,Datos de las 23:00 del 24 de Mayo de 2015
05021,08,05,021,"Barco de Ávila, El",2652,1963,1447,62,43,100,Datos de las 0:12 del 25 de Mayo de 2015
05022,08,05,022,"Barraco, El",1989,1646,1190,38,46,100,Datos de las 21:45 del 24 de Mayo de 2015
05023,08,05,023,Barromán,195,177,158,5,5,100,Datos de las 21:51 del 24 de Mayo de 2015
05024,08,05,024,Becedas,243,234,186,11,2,100,Datos de las 21:27 del 24 de Mayo de 2015
05025,08,05,025,Becedillas,107,98,69,1,5,100,Datos de las 20:48 del 24 de Mayo de 2015
05026,08,05,026,Bercial de Zapardiel,230,205,186,2,2,100,Datos de las 22:25 del 24 de Mayo de 2015
05027,08,05,027,"Berlanas, Las",349,279,211,16,14,100,Datos de las 20:54 del 24 de Mayo de 2015
05029,08,05,029,Bernuy-Zapardiel,136,125,92,4,6,100,Datos de las 21:09 del 24 de Mayo de 2015
05030,08,05,030,Berrocalejo de Aragona,46,46,43,0,1,100,Datos de las 20:30 del 24 de Mayo de 2015
